                        %(turned_pro)s, %(weight_kg)s, %(birthplace)s, %(residence)s, %(coach)s,
                        %(player_status)s, CURRENT_TIMESTAMP
                    )
                ]
[parameters: {'id': 89965, 'name': 'Julian Messina', 'hand': None, 'height_cm': None, 'country_code': 'USA', 'birth_date': None, 'turned_pro': None, 'weight_kg': None, 'birthplace': None, 'residence': None, 'coach': None, 'player_status': 'Active'}]
(Background on this error at: https://sqlalche.me/e/20/gkpj)
2025-04-17 23:06:13,105 - ERROR - Data that caused error: {'id': 89965, 'name': 'Julian Messina', 'hand': None, 'height_cm': None, 'country_code': 'USA', 'birth_date': None, 'turned_pro': None, 'weight_kg': None, 'birthplace': None, 'residence': None, 'coach': None, 'player_status': 'Active'}
2025-04-17 23:06:13,106 - ERROR - Failed to update player Julian Messina in database
2025-04-17 23:06:13,106 - WARNING - Creating minimal player record for Julian Messina
2025-04-17 23:06:13,369 - ERROR - Error updating player in database: (sqlalchemy.exc.InvalidRequestError) A value is required for bind parameter 'birth_date'
[SQL: 
                    INSERT INTO players (
                        id, name, hand, height_cm, country_code, birth_date,
                        turned_pro, weight_kg, birthplace, residence, coach,
                        player_status, last_updated
                    ) VALUES (
                        %(id)s, %(name)s, %(hand)s, %(height_cm)s, %(country_code)s, %(birth_date)s,
                        %(turned_pro)s, %(weight_kg)s, %(birthplace)s, %(residence)s, %(coach)s,
                        %(player_status)s, CURRENT_TIMESTAMP
                    )
                ]
[parameters: [{'id': 89965, 'name': 'Julian Messina', 'hand': None, 'country_code': None, 'height_cm': None, 'weight_kg': None}]]
(Background on this error at: https://sqlalche.me/e/20/cd3x)
2025-04-17 23:06:13,369 - ERROR - Data that caused error: {'id': 89965, 'name': 'Julian Messina', 'hand': None, 'country_code': None, 'height_cm': None, 'weight_kg': None}
2025-04-17 23:06:13,370 - WARNING - Skipping match 2387247298 insertion - missing loser data for player Julian Messina (ID: 89965)
2025-04-17 23:06:13,370 - WARNING - Skipping match 2387247298 insertion - missing player data
2025-04-17 23:08:26,344 - WARNING - Failed to fetch statistics for match 3277574987, but will continue processing
2025-04-17 23:08:30,219 - WARNING - Failed to fetch statistics for match 3285318328, but will continue processing
2025-04-17 23:08:34,139 - WARNING - Failed to fetch statistics for match 3307258179, but will continue processing
2025-04-17 23:08:38,010 - WARNING - Failed to fetch statistics for match 3307258169, but will continue processing
2025-04-17 23:08:41,879 - WARNING - Failed to fetch statistics for match 3307258168, but will continue processing
2025-04-17 23:08:45,711 - WARNING - Failed to fetch statistics for match 3307258172, but will continue processing
2025-04-17 23:08:49,639 - WARNING - Failed to fetch statistics for match 3344686417, but will continue processing
2025-04-17 23:08:53,489 - WARNING - Failed to fetch statistics for match 3344686402, but will continue processing
2025-04-17 23:08:57,425 - WARNING - Failed to fetch statistics for match 3327907996, but will continue processing
2025-04-17 23:09:01,278 - WARNING - Failed to fetch statistics for match 3373081165, but will continue processing
2025-04-17 23:09:05,088 - WARNING - Failed to fetch statistics for match 3364046378, but will continue processing
2025-04-17 23:09:08,978 - WARNING - Failed to fetch statistics for match 3388569623, but will continue processing
